,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted
2403,0.7,5-Ideal,7-D,2-SI2,60.4,56.0,5.78,5.81,3.5,6,2880.947711857767
2404,1.35,3-Very Good,1-J,5-VS1,62.1,56.0,7.04,7.1,4.39,0,5318.815154189925
2405,0.44,5-Ideal,7-D,5-VS1,61.1,56.0,4.95,4.91,3.01,6,2880.947711857767
2406,0.33,5-Ideal,5-F,8-IF,62.1,56.0,4.41,4.44,2.75,4,3693.570192635153
2407,0.74,5-Ideal,5-F,3-SI1,62.5,56.0,5.8,5.76,3.61,4,3693.570192635153
2408,1.1,5-Ideal,5-F,4-VS2,60.7,57.0,6.66,6.7,4.05,4,3693.570192635153
2409,0.4,4-Premium,5-F,4-VS2,59.3,59.0,4.83,4.79,2.85,4,3693.570192635153
2410,1.83,1-Fair,1-J,1-I1,70.0,58.0,7.34,7.28,5.12,0,5318.815154189925
2411,0.71,5-Ideal,5-F,4-VS2,61.6,56.0,5.74,5.77,3.54,4,3693.570192635153
2412,1.0,5-Ideal,6-E,2-SI2,62.0,57.0,6.37,6.41,3.96,5,3287.25895224646
2413,2.0,3-Very Good,3-H,3-SI1,63.3,59.0,8.02,8.0,5.07,2,4506.192673412539
2414,2.03,4-Premium,4-G,3-SI1,61.9,59.0,8.14,8.09,5.02,3,4099.881433023846
2415,1.0,1-Fair,5-F,2-SI2,65.5,54.0,6.2,6.16,4.05,4,3693.570192635153
2416,0.9,3-Very Good,4-G,3-SI1,62.9,56.0,6.11,6.17,3.86,3,4099.881433023846
2417,0.41,5-Ideal,5-F,6-VVS2,61.2,56.0,4.78,4.8,2.93,4,3693.570192635153
2418,0.41,5-Ideal,5-F,7-VVS1,61.8,57.0,4.75,4.79,2.95,4,3693.570192635153
2419,1.51,4-Premium,5-F,4-VS2,61.6,58.0,7.32,7.35,4.52,4,3693.570192635153
2420,1.16,3-Very Good,3-H,2-SI2,63.2,57.0,6.66,6.7,4.22,2,4506.192673412539
2421,0.54,5-Ideal,4-G,5-VS1,61.8,56.0,5.21,5.26,3.24,3,4099.881433023846
2422,1.54,3-Very Good,7-D,3-SI1,63.0,59.0,7.31,7.35,4.62,6,2880.947711857767
2423,2.07,4-Premium,3-H,3-SI1,61.1,58.0,8.27,8.2,5.03,2,4506.192673412539
2424,0.41,5-Ideal,1-J,7-VVS1,62.0,57.0,4.79,4.73,2.95,0,5318.815154189925
2425,1.54,5-Ideal,5-F,5-VS1,60.5,56.0,7.52,7.49,4.54,4,3693.570192635153
2426,0.42,4-Premium,5-F,5-VS1,61.8,59.0,4.83,4.81,2.98,4,3693.570192635153
2427,1.12,4-Premium,4-G,1-I1,60.4,59.0,6.71,6.67,0.0,3,4099.881433023846
2428,1.0,5-Ideal,4-G,6-VVS2,62.8,53.9,6.37,6.42,4.02,3,4099.881433023846
2429,1.01,4-Premium,2-I,7-VVS1,62.0,59.0,6.39,6.32,3.94,1,4912.503913801233
2430,1.7,2-Good,2-I,1-I1,63.6,58.0,7.52,7.48,4.77,1,4912.503913801233
2431,0.31,5-Ideal,5-F,7-VVS1,60.6,56.0,4.44,4.41,2.68,4,3693.570192635153
2432,0.3,3-Very Good,5-F,8-IF,62.5,56.0,4.27,4.3,2.68,4,3693.570192635153
2433,1.16,5-Ideal,1-J,3-SI1,60.7,57.0,6.83,6.77,4.13,0,5318.815154189925
2434,0.3,4-Premium,6-E,4-VS2,59.1,58.0,4.37,4.39,2.59,5,3287.25895224646
2435,1.0,3-Very Good,6-E,6-VVS2,61.7,55.0,6.38,6.42,3.95,5,3287.25895224646
2436,0.94,1-Fair,3-H,3-SI1,68.4,53.0,6.05,5.97,4.11,2,4506.192673412539
2437,0.5,5-Ideal,2-I,4-VS2,62.4,55.0,5.09,5.11,3.18,1,4912.503913801233
2438,1.2,5-Ideal,6-E,2-SI2,62.0,57.0,6.8,6.82,4.22,5,3287.25895224646
2439,0.4,3-Very Good,4-G,7-VVS1,60.9,57.0,4.76,4.8,2.91,3,4099.881433023846
2440,0.62,5-Ideal,7-D,3-SI1,60.8,59.0,5.48,5.5,3.34,6,2880.947711857767
2441,1.02,2-Good,4-G,4-VS2,63.7,57.0,6.24,6.31,4.0,3,4099.881433023846
2442,0.96,3-Very Good,2-I,2-SI2,62.7,58.0,6.2,6.24,3.9,1,4912.503913801233
2443,1.51,3-Very Good,5-F,5-VS1,59.6,63.0,7.34,7.43,4.4,4,3693.570192635153
2444,0.7,5-Ideal,5-F,3-SI1,60.7,57.0,5.73,5.75,3.49,4,3693.570192635153
2445,0.52,5-Ideal,7-D,2-SI2,61.7,55.0,5.17,5.2,3.2,6,2880.947711857767
2446,0.4,4-Premium,4-G,3-SI1,59.3,59.0,4.82,4.8,2.85,3,4099.881433023846
2447,0.5,5-Ideal,6-E,4-VS2,62.9,54.0,5.14,5.1,3.22,5,3287.25895224646
2448,1.25,5-Ideal,2-I,2-SI2,61.4,55.0,6.92,6.99,4.27,1,4912.503913801233
2449,0.91,3-Very Good,4-G,4-VS2,62.3,59.0,6.13,6.17,3.83,3,4099.881433023846
2450,0.44,5-Ideal,2-I,5-VS1,61.1,56.0,4.92,4.96,3.02,1,4912.503913801233
2451,0.42,3-Very Good,6-E,3-SI1,62.3,58.0,4.76,4.81,2.98,5,3287.25895224646
2452,1.29,5-Ideal,4-G,4-VS2,61.3,57.0,6.99,7.07,4.31,3,4099.881433023846
2453,1.12,5-Ideal,5-F,5-VS1,61.8,56.0,6.67,6.69,4.13,4,3693.570192635153
2454,0.6,5-Ideal,4-G,5-VS1,62.2,55.0,5.41,5.45,3.38,3,4099.881433023846
2455,0.3,3-Very Good,6-E,3-SI1,63.2,57.0,4.3,4.25,2.7,5,3287.25895224646
2456,0.31,4-Premium,3-H,3-SI1,62.3,55.0,4.36,4.34,2.71,2,4506.192673412539
2457,1.71,4-Premium,4-G,5-VS1,62.7,58.0,7.66,7.62,4.79,3,4099.881433023846
2458,0.74,5-Ideal,4-G,3-SI1,61.3,57.0,5.81,5.83,3.57,3,4099.881433023846
2459,0.3,3-Very Good,5-F,3-SI1,63.5,57.0,4.27,4.24,2.7,4,3693.570192635153
2460,0.71,2-Good,5-F,2-SI2,64.1,60.0,0.0,0.0,0.0,4,3693.570192635153
2461,0.31,5-Ideal,7-D,2-SI2,61.3,56.0,4.36,4.41,2.69,6,2880.947711857767
2462,0.32,4-Premium,4-G,4-VS2,61.7,60.0,4.4,4.32,2.69,3,4099.881433023846
2463,1.54,4-Premium,4-G,3-SI1,61.0,59.0,7.43,7.38,4.52,3,4099.881433023846
2464,1.02,5-Ideal,1-J,2-SI2,61.6,55.0,6.49,6.43,3.98,0,5318.815154189925
2465,1.0,3-Very Good,5-F,6-VVS2,62.9,55.0,6.29,6.36,3.98,4,3693.570192635153
2466,1.0,4-Premium,7-D,3-SI1,62.5,59.0,6.32,6.38,3.97,6,2880.947711857767
2467,1.01,5-Ideal,3-H,5-VS1,61.5,56.0,6.48,6.43,3.97,2,4506.192673412539
2468,0.7,4-Premium,4-G,6-VVS2,61.8,58.0,5.67,5.63,3.49,3,4099.881433023846
2469,0.29,5-Ideal,4-G,4-VS2,61.6,56.0,4.26,4.29,2.63,3,4099.881433023846
2470,0.41,4-Premium,4-G,7-VVS1,60.0,59.0,4.84,4.83,2.9,3,4099.881433023846
2471,0.35,5-Ideal,7-D,3-SI1,62.3,55.0,4.54,4.51,2.82,6,2880.947711857767
2472,1.05,5-Ideal,5-F,3-SI1,61.8,57.0,6.51,6.54,4.03,4,3693.570192635153
2473,0.3,3-Very Good,3-H,7-VVS1,62.2,58.0,4.26,4.29,2.66,2,4506.192673412539
2474,1.22,5-Ideal,4-G,6-VVS2,60.0,58.0,6.95,6.99,4.18,3,4099.881433023846
2475,1.01,3-Very Good,4-G,2-SI2,60.8,63.0,6.4,6.36,3.88,3,4099.881433023846
2476,1.22,3-Very Good,6-E,4-VS2,59.5,60.0,6.91,7.0,4.14,5,3287.25895224646
2477,1.03,3-Very Good,5-F,3-SI1,60.6,63.0,6.47,6.5,3.93,4,3693.570192635153
2478,1.57,4-Premium,5-F,3-SI1,62.0,58.0,7.47,7.41,4.61,4,3693.570192635153
2479,0.31,5-Ideal,5-F,8-IF,61.2,57.0,4.35,4.38,2.67,4,3693.570192635153
2480,0.42,5-Ideal,7-D,3-SI1,61.9,57.0,4.82,4.77,2.97,6,2880.947711857767
2481,0.34,5-Ideal,6-E,3-SI1,63.0,55.0,4.47,4.42,2.8,5,3287.25895224646
2482,1.01,4-Premium,5-F,4-VS2,63.0,58.0,6.43,6.36,4.03,4,3693.570192635153
2483,0.34,3-Very Good,6-E,4-VS2,62.8,58.0,4.43,4.45,2.79,5,3287.25895224646
2484,0.4,5-Ideal,6-E,2-SI2,61.2,55.0,4.74,4.77,2.91,5,3287.25895224646
2485,0.39,3-Very Good,2-I,6-VVS2,63.0,56.0,4.62,4.68,2.93,1,4912.503913801233
2486,1.57,5-Ideal,6-E,4-VS2,62.3,57.0,7.39,7.44,4.62,5,3287.25895224646
2487,1.35,4-Premium,3-H,4-VS2,61.5,58.0,7.09,7.15,4.38,2,4506.192673412539
2488,0.35,3-Very Good,7-D,3-SI1,60.1,61.0,4.56,4.59,2.75,6,2880.947711857767
2489,2.5,1-Fair,3-H,2-SI2,64.9,58.0,8.46,8.43,5.48,2,4506.192673412539
2490,0.51,3-Very Good,4-G,4-VS2,62.7,57.0,5.05,5.12,3.19,3,4099.881433023846
2491,0.62,4-Premium,1-J,6-VVS2,60.9,58.0,5.5,5.56,3.37,0,5318.815154189925
2492,0.56,5-Ideal,4-G,3-SI1,61.5,56.0,5.31,5.32,3.27,3,4099.881433023846
2493,0.35,5-Ideal,5-F,7-VVS1,61.8,55.0,4.53,4.57,2.81,4,3693.570192635153
2494,0.72,4-Premium,5-F,5-VS1,62.2,58.0,5.75,5.7,3.56,4,3693.570192635153
2495,1.51,5-Ideal,2-I,2-SI2,61.2,58.0,7.33,7.42,4.51,1,4912.503913801233
2496,1.01,2-Good,7-D,2-SI2,63.9,57.0,6.29,6.36,4.04,6,2880.947711857767
2497,1.51,1-Fair,4-G,2-SI2,65.5,55.0,7.14,7.08,4.66,3,4099.881433023846
2498,0.75,3-Very Good,3-H,6-VVS2,60.6,57.0,5.86,5.89,3.56,2,4506.192673412539
2499,0.5,2-Good,7-D,2-SI2,61.9,63.0,5.05,5.07,3.13,6,2880.947711857767
2500,0.36,5-Ideal,4-G,6-VVS2,61.5,55.0,4.58,4.62,2.83,3,4099.881433023846
2501,0.63,5-Ideal,5-F,3-SI1,62.6,56.0,5.53,5.49,3.45,4,3693.570192635153
2502,0.47,5-Ideal,3-H,2-SI2,62.4,53.0,4.98,5.02,3.12,2,4506.192673412539
2503,1.01,2-Good,5-F,3-SI1,58.8,64.0,6.58,6.51,3.85,4,3693.570192635153
2504,1.01,3-Very Good,4-G,4-VS2,63.2,55.0,6.39,6.34,4.02,3,4099.881433023846
2505,0.9,5-Ideal,4-G,2-SI2,62.7,55.0,6.11,6.17,3.85,3,4099.881433023846
2506,1.51,5-Ideal,2-I,3-SI1,61.2,60.0,7.39,7.37,4.52,1,4912.503913801233
2507,1.0,2-Good,2-I,3-SI1,57.6,61.0,6.56,6.52,3.77,1,4912.503913801233
2508,0.31,4-Premium,2-I,5-VS1,62.3,59.0,4.29,4.35,2.69,1,4912.503913801233
2509,1.63,4-Premium,2-I,3-SI1,61.7,58.0,7.54,7.51,4.64,1,4912.503913801233
2510,0.4,3-Very Good,6-E,6-VVS2,61.4,56.0,4.74,4.81,2.93,5,3287.25895224646
2511,0.42,3-Very Good,4-G,5-VS1,60.6,58.0,4.82,4.95,2.96,3,4099.881433023846
2512,0.7,4-Premium,3-H,5-VS1,61.9,56.0,5.7,5.67,3.52,2,4506.192673412539
2513,0.32,3-Very Good,7-D,3-SI1,60.1,60.0,4.38,4.4,2.64,6,2880.947711857767
2514,0.75,3-Very Good,6-E,4-VS2,62.8,55.0,5.77,5.79,3.63,5,3287.25895224646
2515,0.32,5-Ideal,4-G,8-IF,61.4,55.0,4.42,4.44,2.72,3,4099.881433023846
2516,0.25,5-Ideal,6-E,4-VS2,60.6,57.0,4.08,4.11,2.48,5,3287.25895224646
2517,1.02,5-Ideal,5-F,2-SI2,61.6,56.0,6.52,6.49,4.01,4,3693.570192635153
2518,0.4,4-Premium,7-D,3-SI1,61.1,58.0,4.75,4.74,2.9,6,2880.947711857767
2519,0.48,2-Good,5-F,5-VS1,59.0,60.9,5.09,5.15,3.02,4,3693.570192635153
2520,0.31,5-Ideal,6-E,5-VS1,60.1,55.0,4.42,4.53,2.69,5,3287.25895224646
2521,1.0,5-Ideal,3-H,2-SI2,62.5,54.0,6.32,6.38,3.97,2,4506.192673412539
2522,0.9,4-Premium,2-I,4-VS2,61.6,58.0,6.15,6.09,3.77,1,4912.503913801233
2523,1.02,3-Very Good,7-D,3-SI1,62.7,57.0,6.42,6.5,4.05,6,2880.947711857767
2524,0.36,4-Premium,5-F,4-VS2,62.0,59.0,4.51,4.56,2.81,4,3693.570192635153
2525,0.31,3-Very Good,6-E,3-SI1,63.1,57.0,4.31,4.28,2.71,5,3287.25895224646
2526,0.7,1-Fair,5-F,4-VS2,65.5,57.0,5.55,5.41,3.59,4,3693.570192635153
2527,1.74,4-Premium,1-J,4-VS2,61.9,62.0,7.62,7.54,4.7,0,5318.815154189925
2528,1.79,4-Premium,4-G,5-VS1,61.7,59.0,7.85,7.74,4.81,3,4099.881433023846
2529,0.36,5-Ideal,6-E,5-VS1,62.4,55.0,4.61,4.59,2.87,5,3287.25895224646
2530,1.52,2-Good,6-E,1-I1,57.3,58.0,7.53,7.42,4.28,5,3287.25895224646
2531,0.94,4-Premium,6-E,3-SI1,62.0,58.0,6.24,6.27,3.88,5,3287.25895224646
2532,0.33,5-Ideal,2-I,3-SI1,61.5,57.0,4.49,4.46,2.75,1,4912.503913801233
2533,1.06,5-Ideal,4-G,2-SI2,62.2,55.0,6.56,6.53,4.07,3,4099.881433023846
2534,0.75,5-Ideal,6-E,3-SI1,62.1,55.0,5.81,5.85,3.62,5,3287.25895224646
2535,0.79,4-Premium,3-H,5-VS1,60.0,60.0,6.07,5.99,3.64,2,4506.192673412539
2536,0.33,5-Ideal,6-E,3-SI1,59.6,57.0,4.53,4.49,2.69,5,3287.25895224646
2537,0.82,5-Ideal,5-F,2-SI2,62.4,54.0,5.97,6.02,3.74,4,3693.570192635153
2538,0.32,5-Ideal,4-G,5-VS1,61.9,55.0,4.4,4.42,2.73,3,4099.881433023846
2539,0.3,4-Premium,5-F,4-VS2,62.2,60.0,4.22,4.27,2.64,4,3693.570192635153
2540,0.7,5-Ideal,5-F,4-VS2,62.0,56.0,5.71,5.74,3.55,4,3693.570192635153
2541,1.52,1-Fair,1-J,5-VS1,65.4,58.0,7.22,7.17,4.7,0,5318.815154189925
2542,0.31,5-Ideal,4-G,8-IF,62.0,54.0,4.36,4.38,2.71,3,4099.881433023846
2543,0.51,5-Ideal,7-D,4-VS2,61.6,57.0,5.19,5.14,3.18,6,2880.947711857767
2544,0.74,4-Premium,3-H,4-VS2,59.9,57.0,5.91,5.87,3.53,2,4506.192673412539
2545,0.67,2-Good,5-F,4-VS2,58.1,62.0,5.76,5.83,3.36,4,3693.570192635153
2546,0.32,5-Ideal,3-H,5-VS1,62.1,55.0,4.39,4.4,2.73,2,4506.192673412539
2547,0.72,5-Ideal,3-H,5-VS1,62.3,55.0,5.72,5.74,3.57,2,4506.192673412539
2548,0.5,3-Very Good,6-E,4-VS2,62.8,60.0,5.02,5.08,3.17,5,3287.25895224646
2549,0.86,5-Ideal,6-E,2-SI2,61.8,57.0,6.1,6.13,3.78,5,3287.25895224646
2550,0.51,4-Premium,7-D,3-SI1,61.9,60.0,5.15,5.12,3.18,6,2880.947711857767
2551,2.0,1-Fair,2-I,5-VS1,58.5,68.0,8.26,8.15,4.8,1,4912.503913801233
2552,1.79,3-Very Good,5-F,4-VS2,62.8,59.0,7.7,7.8,4.87,4,3693.570192635153
2553,0.7,3-Very Good,5-F,4-VS2,63.4,56.0,5.69,5.63,3.59,4,3693.570192635153
2554,0.7,3-Very Good,4-G,4-VS2,62.2,61.0,5.54,5.59,3.46,3,4099.881433023846
2555,0.28,3-Very Good,6-E,8-IF,59.6,55.0,4.24,4.31,2.55,5,3287.25895224646
2556,0.32,4-Premium,7-D,3-SI1,60.8,58.0,4.41,4.44,2.69,6,2880.947711857767
2557,1.5,2-Good,2-I,1-I1,62.6,63.0,7.19,7.25,4.52,1,4912.503913801233
2558,0.9,1-Fair,2-I,6-VVS2,60.9,66.0,6.1,6.12,3.72,1,4912.503913801233
2559,0.41,4-Premium,2-I,6-VVS2,62.4,60.0,4.73,4.7,2.94,1,4912.503913801233
2560,1.0,4-Premium,1-J,3-SI1,58.7,58.0,6.55,6.51,3.83,0,5318.815154189925
2561,0.91,3-Very Good,3-H,4-VS2,58.3,59.0,6.35,6.47,3.74,2,4506.192673412539
2562,1.07,3-Very Good,1-J,6-VVS2,60.0,60.0,6.57,6.59,3.95,0,5318.815154189925
2563,2.2,5-Ideal,1-J,3-SI1,61.5,57.0,8.41,8.37,5.16,0,5318.815154189925
2564,1.52,3-Very Good,7-D,3-SI1,60.6,57.8,7.4,7.46,4.51,6,2880.947711857767
2565,0.31,5-Ideal,3-H,6-VVS2,62.3,55.0,4.36,4.37,2.72,2,4506.192673412539
2566,0.9,2-Good,3-H,2-SI2,64.1,58.0,6.05,6.02,3.87,2,4506.192673412539
2567,0.41,4-Premium,1-J,5-VS1,61.3,59.0,4.78,4.74,2.92,0,5318.815154189925
2568,1.58,4-Premium,4-G,4-VS2,58.2,58.0,7.68,7.64,4.46,3,4099.881433023846
2569,0.9,4-Premium,4-G,3-SI1,61.9,59.0,6.18,6.13,3.81,3,4099.881433023846
2570,1.2,2-Good,2-I,3-SI1,65.0,59.0,6.51,6.57,4.25,1,4912.503913801233
2571,1.16,3-Very Good,5-F,4-VS2,60.2,63.0,6.79,6.7,4.07,4,3693.570192635153
2572,0.3,4-Premium,3-H,6-VVS2,62.1,52.0,4.31,4.29,2.67,2,4506.192673412539
2573,0.4,4-Premium,7-D,3-SI1,60.9,60.0,4.74,4.78,2.9,6,2880.947711857767
2574,0.24,3-Very Good,5-F,6-VVS2,61.4,57.0,4.03,4.06,2.48,4,3693.570192635153
2575,0.72,3-Very Good,3-H,5-VS1,60.6,63.0,5.83,5.76,3.51,2,4506.192673412539
2576,0.33,2-Good,2-I,6-VVS2,63.7,56.0,4.4,4.36,2.79,1,4912.503913801233
2577,0.86,3-Very Good,6-E,4-VS2,62.3,56.0,6.05,6.08,3.78,5,3287.25895224646
2578,0.7,5-Ideal,7-D,5-VS1,62.5,57.0,5.65,5.68,3.54,6,2880.947711857767
2579,0.52,5-Ideal,6-E,3-SI1,60.1,59.0,5.18,5.23,3.13,5,3287.25895224646
2580,0.41,4-Premium,6-E,5-VS1,62.3,59.0,4.76,4.74,2.96,5,3287.25895224646
2581,1.06,5-Ideal,4-G,4-VS2,61.8,57.0,6.52,6.56,4.04,3,4099.881433023846
2582,0.72,5-Ideal,1-J,3-SI1,62.6,56.0,5.67,5.74,3.57,0,5318.815154189925
2583,1.54,5-Ideal,3-H,2-SI2,60.9,56.0,7.45,7.43,4.53,2,4506.192673412539
2584,0.76,5-Ideal,7-D,3-SI1,61.2,57.0,5.88,5.91,3.61,6,2880.947711857767
2585,1.01,3-Very Good,7-D,4-VS2,60.4,58.0,6.47,6.57,3.94,6,2880.947711857767
2586,1.0,1-Fair,4-G,6-VVS2,65.5,54.0,6.3,6.22,4.1,3,4099.881433023846
2587,2.02,3-Very Good,3-H,2-SI2,59.9,55.0,8.17,8.28,4.93,2,4506.192673412539
2588,0.32,3-Very Good,5-F,4-VS2,63.2,58.0,4.35,4.32,2.74,4,3693.570192635153
2589,0.32,5-Ideal,7-D,3-SI1,62.0,57.0,4.4,4.37,2.72,6,2880.947711857767
2590,2.43,4-Premium,2-I,2-SI2,62.2,60.0,8.59,8.53,5.33,1,4912.503913801233
2591,0.92,3-Very Good,6-E,3-SI1,63.3,57.0,6.22,6.17,3.92,5,3287.25895224646
2592,0.41,5-Ideal,1-J,5-VS1,62.7,57.0,4.72,4.75,2.97,0,5318.815154189925
2593,0.38,4-Premium,3-H,4-VS2,60.5,59.0,4.69,4.66,2.83,2,4506.192673412539
2594,1.71,3-Very Good,6-E,3-SI1,63.4,56.0,7.58,7.5,4.78,5,3287.25895224646
2595,0.9,3-Very Good,2-I,3-SI1,61.4,55.0,6.19,6.28,3.83,1,4912.503913801233
2596,0.43,3-Very Good,5-F,5-VS1,63.4,57.0,4.8,4.76,3.03,4,3693.570192635153
2597,0.7,3-Very Good,4-G,4-VS2,58.2,60.0,5.84,5.78,3.38,3,4099.881433023846
2598,0.51,5-Ideal,6-E,4-VS2,62.0,54.0,5.16,5.13,3.19,5,3287.25895224646
2599,0.4,2-Good,6-E,3-SI1,63.5,58.0,4.65,4.67,2.96,5,3287.25895224646
2600,0.9,4-Premium,2-I,3-SI1,60.9,56.0,6.26,6.21,3.8,1,4912.503913801233
2601,0.78,2-Good,6-E,2-SI2,63.7,54.0,5.82,5.77,3.69,5,3287.25895224646
2602,1.12,4-Premium,5-F,2-SI2,60.5,59.0,6.73,6.79,4.09,4,3693.570192635153
2603,0.4,4-Premium,6-E,3-SI1,60.8,62.0,4.76,4.72,2.88,5,3287.25895224646
2604,0.51,3-Very Good,1-J,3-SI1,62.6,59.0,5.06,5.1,3.18,0,5318.815154189925
2605,1.01,1-Fair,6-E,2-SI2,67.6,57.0,6.21,6.11,4.18,5,3287.25895224646
2606,0.52,5-Ideal,6-E,4-VS2,61.7,55.0,5.16,5.21,3.2,5,3287.25895224646
2607,0.41,5-Ideal,6-E,4-VS2,61.8,56.0,4.78,4.74,2.94,5,3287.25895224646
2608,1.05,4-Premium,4-G,2-SI2,60.1,60.0,6.58,6.66,3.98,3,4099.881433023846
2609,2.02,3-Very Good,4-G,2-SI2,62.8,55.0,8.06,8.11,5.08,3,4099.881433023846
2610,0.9,3-Very Good,2-I,2-SI2,60.9,63.0,6.21,6.13,3.76,1,4912.503913801233
2611,0.64,4-Premium,7-D,4-VS2,60.9,59.0,5.6,5.63,3.42,6,2880.947711857767
2612,1.22,4-Premium,2-I,3-SI1,62.1,58.0,6.89,6.8,4.25,1,4912.503913801233
2613,1.32,3-Very Good,3-H,3-SI1,62.4,58.0,7.02,7.09,4.4,2,4506.192673412539
2614,2.2,4-Premium,2-I,2-SI2,63.0,59.0,8.22,8.19,5.17,1,4912.503913801233
2615,1.0,5-Ideal,4-G,4-VS2,62.6,57.0,6.47,6.4,4.03,3,4099.881433023846
2616,0.54,4-Premium,3-H,5-VS1,61.9,56.0,5.29,5.24,3.26,2,4506.192673412539
2617,2.25,5-Ideal,2-I,2-SI2,62.4,57.0,8.39,8.32,5.21,1,4912.503913801233
2618,1.13,3-Very Good,3-H,2-SI2,62.5,62.0,6.59,6.66,4.14,2,4506.192673412539
2619,0.62,4-Premium,5-F,2-SI2,61.7,60.0,5.48,5.45,3.37,4,3693.570192635153
2620,0.9,1-Fair,7-D,2-SI2,64.7,59.0,6.09,5.99,3.91,6,2880.947711857767
2621,0.38,5-Ideal,7-D,4-VS2,61.8,56.0,4.65,4.67,2.88,6,2880.947711857767
2622,0.4,3-Very Good,7-D,3-SI1,63.1,57.0,4.73,4.69,2.97,6,2880.947711857767
2623,0.61,4-Premium,7-D,5-VS1,62.4,57.0,5.46,5.44,3.4,6,2880.947711857767
2624,1.5,2-Good,1-J,5-VS1,64.1,55.0,7.23,7.13,4.6,0,5318.815154189925
2625,1.25,5-Ideal,4-G,3-SI1,62.5,54.0,6.88,6.85,4.29,3,4099.881433023846
2626,1.01,1-Fair,6-E,2-SI2,60.0,60.0,6.48,6.38,3.86,5,3287.25895224646
2627,0.83,4-Premium,4-G,2-SI2,61.6,57.0,6.06,6.02,3.72,3,4099.881433023846
2628,1.53,5-Ideal,3-H,3-SI1,62.3,57.0,7.41,7.36,4.6,2,4506.192673412539
2629,0.71,5-Ideal,6-E,5-VS1,62.4,56.0,5.75,5.7,3.57,5,3287.25895224646
2630,0.38,2-Good,3-H,3-SI1,63.3,57.0,4.58,4.62,2.91,2,4506.192673412539
2631,0.74,5-Ideal,5-F,3-SI1,61.2,56.0,5.83,5.87,3.58,4,3693.570192635153
2632,0.84,2-Good,4-G,4-VS2,63.6,59.0,5.89,5.94,3.76,3,4099.881433023846
2633,0.75,5-Ideal,6-E,3-SI1,61.4,57.0,5.82,5.87,3.59,5,3287.25895224646
2634,0.42,4-Premium,3-H,5-VS1,61.7,59.0,4.76,4.83,2.96,2,4506.192673412539
2635,0.94,4-Premium,6-E,2-SI2,62.4,58.0,6.26,6.33,3.93,5,3287.25895224646
2636,0.72,3-Very Good,5-F,6-VVS2,59.2,63.0,5.77,5.86,3.44,4,3693.570192635153
2637,0.3,4-Premium,6-E,4-VS2,62.4,59.0,4.3,4.26,2.67,5,3287.25895224646
2638,0.41,3-Very Good,6-E,2-SI2,63.3,56.0,4.73,4.69,2.98,5,3287.25895224646
2639,0.43,5-Ideal,7-D,4-VS2,61.3,55.0,4.84,4.88,2.98,6,2880.947711857767
2640,2.24,4-Premium,2-I,2-SI2,61.9,58.0,8.29,8.36,5.15,1,4912.503913801233
2641,0.84,3-Very Good,4-G,4-VS2,61.8,57.0,6.04,6.07,3.74,3,4099.881433023846
2642,1.12,3-Very Good,6-E,2-SI2,60.9,63.0,6.59,6.65,4.03,5,3287.25895224646
2643,0.34,4-Premium,2-I,5-VS1,61.0,60.0,4.51,4.48,2.74,1,4912.503913801233
2644,0.3,4-Premium,4-G,5-VS1,62.5,55.0,4.32,4.25,2.68,3,4099.881433023846
2645,0.7,5-Ideal,4-G,5-VS1,61.4,57.0,5.7,5.73,3.51,3,4099.881433023846
2646,1.0,4-Premium,5-F,3-SI1,59.7,60.0,6.48,6.51,3.88,4,3693.570192635153
2647,0.43,5-Ideal,7-D,4-VS2,61.8,56.0,4.81,4.83,2.98,6,2880.947711857767
2648,1.01,5-Ideal,3-H,3-SI1,62.4,53.0,6.42,6.47,4.02,2,4506.192673412539
2649,0.71,2-Good,7-D,2-SI2,56.6,63.0,5.9,5.76,3.3,6,2880.947711857767
2650,1.12,5-Ideal,6-E,2-SI2,62.0,57.0,6.61,6.63,4.11,5,3287.25895224646
2651,0.72,5-Ideal,3-H,4-VS2,62.8,57.0,5.74,5.7,3.59,2,4506.192673412539
2652,0.71,4-Premium,6-E,3-SI1,61.8,59.0,5.75,5.7,3.54,5,3287.25895224646
2653,0.52,5-Ideal,7-D,4-VS2,61.9,55.0,5.19,5.21,3.22,6,2880.947711857767
2654,0.3,4-Premium,7-D,5-VS1,60.2,59.0,4.39,4.42,2.65,6,2880.947711857767
2655,0.35,4-Premium,6-E,4-VS2,61.6,58.0,4.57,4.52,2.8,5,3287.25895224646
2656,0.32,5-Ideal,2-I,4-VS2,61.5,56.0,4.4,4.41,2.71,1,4912.503913801233
2657,1.01,3-Very Good,2-I,3-SI1,64.2,55.0,6.28,6.34,4.05,1,4912.503913801233
2658,0.58,5-Ideal,6-E,4-VS2,61.9,57.0,5.37,5.33,3.31,5,3287.25895224646
2659,0.9,2-Good,1-J,3-SI1,64.3,63.0,6.05,6.01,3.88,0,5318.815154189925
2660,0.27,3-Very Good,5-F,7-VVS1,62.0,58.0,4.18,4.21,2.6,4,3693.570192635153
2661,0.41,5-Ideal,7-D,5-VS1,61.8,57.0,4.8,4.75,2.95,6,2880.947711857767
2662,1.01,3-Very Good,3-H,4-VS2,63.5,61.0,6.32,6.24,3.99,2,4506.192673412539
